iter	Passed	Remaining
0	1	126
1	2	141
2	4	133
3	5	124
4	6	119
5	7	114
6	8	110
7	9	106
8	10	103
9	11	100
10	12	98
11	13	97
12	14	97
13	15	97
14	17	96
15	18	94
16	18	92
17	19	91
18	21	89
19	22	88
20	25	94
21	28	100
22	32	109
23	36	116
24	39	118
25	42	119
26	45	121
27	50	130
28	54	134
29	57	134
30	60	134
31	64	136
32	67	136
33	69	135
34	72	134
35	74	132
36	78	132
37	81	132
38	84	131
39	86	129
40	89	128
41	92	127
42	98	130
43	102	130
44	105	129
45	109	128
46	113	128
47	116	126
48	118	123
49	120	120
50	123	118
51	127	117
52	130	115
53	133	113
54	134	110
55	136	107
56	139	105
57	142	103
58	144	100
59	146	97
60	147	94
61	149	91
62	151	89
63	154	87
64	156	84
65	157	81
66	158	77
67	159	74
68	159	71
69	160	68
70	161	66
71	162	63
72	163	60
73	164	57
74	165	55
75	166	52
76	167	49
77	168	47
78	169	45
79	171	42
80	172	40
81	173	37
82	173	35
83	174	33
84	175	31
85	176	28
86	177	26
87	178	24
88	179	22
89	180	20
90	181	17
91	182	15
92	186	14
93	189	12
94	192	10
95	195	8
96	198	6
97	201	4
98	204	2
99	208	0
