iter	Passed	Remaining
0	1258	250358
1	3146	311500
2	6841	449252
3	12700	622347
4	15600	608412
5	16987	549251
6	18139	500121
7	19252	462064
8	20712	439562
9	22208	421957
10	23726	407659
11	25110	393394
12	26515	381416
13	27919	370931
14	29308	361473
15	30791	354097
16	32217	346808
17	33598	339716
18	35079	334179
19	36784	331060
20	40086	341689
21	43154	349156
22	44655	343652
23	46197	338784
24	47724	334074
25	49225	329433
26	50822	325640
27	52124	320195
28	53810	317297
29	55287	313294
30	56850	309927
31	58286	306002
32	59707	302155
33	61191	298756
34	62397	294158
35	63930	291237
36	65404	288134
37	66867	285065
38	68216	281610
39	69684	278737
40	71282	276438
41	72791	273836
42	74012	270231
43	76006	269477
44	77558	267144
45	78991	264450
46	80519	262117
47	82103	259995
48	83646	257767
49	84952	254858
50	86347	252271
51	87780	249837
52	89219	247458
53	90844	245617
54	92295	243324
55	93685	240905
56	95164	238745
57	96627	236570
58	98188	234652
59	99611	232425
60	100799	229691
61	102522	228196
62	103730	225573
63	105804	224833
64	107486	223241
65	109353	222020
66	110504	219359
67	111521	216483
68	112559	213699
69	113568	210913
70	114906	208773
71	116295	206746
72	117303	204075
73	118068	201035
74	119410	199018
75	121013	197443
76	122376	195484
77	123769	193587
78	125127	191650
79	126581	189872
80	128042	188111
81	128910	185505
82	130323	183708
83	131781	181983
84	133359	180427
85	134577	178393
86	135965	176598
87	137380	174847
88	138628	172895
89	140192	171346
90	141614	169625
91	142722	167543
92	144247	165962
93	146062	164708
94	147616	163155
95	149083	161507
96	150690	160011
97	152196	158408
98	153631	156735
99	154756	154756
100	156321	153225
101	157931	151738
102	159257	149979
103	160597	148243
104	162024	146594
105	163653	145126
106	165338	143705
107	166940	142208
108	168564	140728
109	170004	139094
110	171474	137488
111	173149	136046
112	174667	134478
113	176182	132909
114	177753	131383
115	179074	129674
116	180383	127964
117	181933	126428
118	183694	125035
119	184710	123140
120	185963	121413
121	187426	119830
122	188960	118292
123	190390	116691
124	191693	115016
125	193121	113420
126	194651	111886
127	196082	110296
128	197626	108770
129	199656	107507
130	201292	106024
131	202976	104563
132	204506	103022
133	205917	101422
134	207427	99872
135	208887	98299
136	210537	96816
137	212040	95264
138	213498	93693
139	214852	92079
140	216315	90515
141	217739	88935
142	219198	87372
143	220617	85795
144	221900	84169
145	223238	82567
146	224692	81011
147	226235	79488
148	227793	77969
149	229105	76368
150	230391	74762
151	231564	73125
152	232862	71532
153	233793	69834
154	235143	68267
155	235976	66557
156	237284	64988
157	238565	63416
158	239926	61867
159	241045	60261
160	242154	58658
161	243453	57106
162	244565	55514
163	245957	53990
164	247185	52433
165	248453	50888
166	249760	49353
167	251099	47828
168	252417	46301
169	253583	44750
170	254735	43200
171	256137	41696
172	257448	40179
173	258864	38680
174	260055	37150
175	261250	35625
176	262691	34135
177	263983	32627
178	265133	31105
179	266487	29609
180	267834	28115
181	268814	26586
182	270169	25097
183	271482	23607
184	272844	22122
185	274142	20634
186	275507	19152
187	276862	17672
188	278229	16193
189	279723	14722
190	281077	13244
191	282387	11766
192	283678	10288
193	284809	8808
194	286327	7341
195	287721	5871
196	289090	4402
197	290443	2933
198	291597	1465
199	292811	0
